text,label
"Tomorrow is quite meager - 8 euros. The room is very very small (3 beds at 18 meters), but at the same time, clean and tidy. The area near the hotel is a wasteland / wasteland. There is nothing. Most importantly, do not go to nearby cafes/restaurants. Never had such a terrible dinner before.",negative
Shower water often overflowed into the bathroom. Drain is not working well.,negative
"The room was next to another property's pool. Despite too much noise, shouting. Unable to rest",negative
Warm blankets. Slightly untidy floor. Smelled a little sewage,negative
"The room smelled of sewage, it should never be like this. This is a definite minus and prevents coming again.",negative
"With the exception of one gentleman at the reception, no other employee was wearing a mask.\nThe small room, with almost non-existent storage spaces, an extremely small balcony.\nThin walls, all night I heard how other travelers checked in.\nAt 3 o'clock in the morning, the garbage was picked up from the street, in an infernal mess....\nAt 7 o'clock in the morning I tried to open the door to the balcony and I was very close to throwing up instantly. It seems that there are some farms nearby... it smelled like concentrated manure....\nThe adapter found in the room burned/melted 2 phone chargers.",negative
"In the photo of the room on Booking, you can't see a column that takes up space and is uncomfortable. The balcony on the first floor is very low, not very intimate, close to the street and the hotel lobby, you can even smell the smoke from the cigarettes that smoke there. The safe does not make sense since it is not walled, it does not matter if you leave the money in a bag. They could put shampoo in the bathroom, not just soap. Since there is a kettle and the room ers for two people, they could put 2 coffee sachets and 2 tea sachets, not just 1.",negative
"There was a constant stench coming from outside, lack of storage spaces",negative
Bad-degraded area. Garbage heap in the bin next to the hotel. Not as clean as it should be inside. Misleading photos.,negative
"Nothing to do with the hotel, just the quick path down to the beachside cafes is a bit treacherous.",negative
Not too close to the beach \nPerfect for pre or post airport stays,negative
On the 4th floor with all the windows and balcony doors locked we could still hear some outside noise.,negative
2 times noise in week 4 a.m from people picking rubbish into large lorries .,negative
"Safe didn’t work, back door balcony in other bedroom wouldn’t lock, do not disturb sign didn’t work (electronic) \nasked for double bed and got two single beds next to eachother \nvery noisy guests. Waited 10 minutes for someone to come greet us for check in, no one on desk \nGuy on desk told us we had not paid but we did \nthen he took a picture of my passport which no hotel does at all which was very strange ?????",negative
the blue light on the balcony at night which interferes with sleeping open window,negative
Difficulty finding parking,negative
Noisy outside,negative
Noisy air conditioning and night traffic in the area.,negative
"very noisy, the area is ringing, the sounds accumulate with terrible force. At night, I constantly woke up either from the sounds of airplanes, or from passing cars or a slamming trunk, earplugs did not save (",negative
Lots of noise from the hallway,negative
The noise of the discotheque…,negative
It was extremely noisy,negative
"Bed frame structure dangerous, sharp corners.",negative
"Nothing, it was all good",negative
Nothing. Great for the price and our purpose of a late night flight arrival,negative
it would be nice if there was a breakfast buffet,negative
"- monotonous breakfasts (everyday the same set: 2 eggs, 2 slices of toast, 1/4 grilled mushroom, 1/2 grilled tomato, pepper, 2 small sausages, coffee),\n- the relaxation zone (swimming pool, deckchairs, billiards) definitely did not encourage you to use it.",negative
Nothing except the breakfast served at the bar next door (too frugal for the price and very slow service!).,negative
Everything was good❤❤❤❤,negative
that your hotel allowed to stay with animals,negative
#NAME?,negative
maybe possibility of purchasing fresh fruit or veg,negative
"The receptionist didn't speak English properly, and you have a feeling that people are living in the hotel, rather than staying at a hotel. You can hear the airplanes coming and leaving from the airport all the time, so if you are sensitive to the sounds around you and at night, better to skip this hotel and choose a different one.",negative
"Nothing really, though for a stay for more than a few days - it is a bit on the edge of Larnaca - with frequent busses to the centre.",negative
"Nothing, considering the price",negative
Leaving..in fact just re booked the hotel for 2 weeks time 😁,negative
nothing.,negative
I would have liked an ironing board in the room.,negative
Not applicable,negative
Nothing.,negative
Little bit noisy during evening time from the street side. I believe it doesn't disturb you in case you choose the garden view apartments or just close the windows and start the air conditioning ),negative
more hooks on walls for towels etc.,negative
"There was a problem with heating water at that time and we can understand, but eventually we couldn't manage to have a proper shower with hot water.",negative
Nothing except not showing opening times.,negative
Nothing really. The bus to the airport is close by and runs every 15 minutes.,negative
"My only real observation was that there was no net curtain or blind so one needed to ensure that the curtain was closed, especially when going for a shower as the room is opposite some apartments that have a clear view into the room!",negative
"It is typical of all restaurants in the area - the kitchen shuts at 22:30 or so, and there is no food to be had afterwards. I would just flag that ahead of time in the welcome email to those arriving from the UK (most early afternoon flights land after 23:00) and have something like nuts / chips available to buy on arrival.",negative
Not very Soundproof,negative
A lot of mosquitos,negative
The room wasn't soundproof so you can hear the planes.,negative
"If you are looking for a quiet stay, you should be aware that the hotel is really close to the airport, so you can hear all the noise from the planes.",negative
nothing so far,negative
No 24 hour reception so not easy to access entry at odd hours.,negative
The location was a little bit far from the centre.,negative
"The only thing was they did not a have pool, but however had plenty of chairs to sot on outside in the garden which also was spotlessly clean everywhere too.",negative
The room wasn't clean when we checked in. So they finished the cleaning after our complaint,negative
The location of the place is more a waiting position for your next flight at the Larnaka airport than a beach stay.,negative
The cupboards/wardrobes need doors and they should be drawers in the room to keep the rooms tidy.,negative
No soap or shampoo in the shower. There was hand soap instead.,negative
"The hotel staff should learn better English - confusing the term ""fridge"" and ""freezer"" can be fatal for a person with diabetes. The team froze our insulin, meaning it was unusable. Luckily we flew home the next day. If it happened before the holidays, we've got the entertainment covered.",negative
#NAME?,negative
"The location of the hotel was a bit far from the city centre, but you can take the 425 bus, which arrives fairly often at the station near the hotel.",negative
slow elevators,negative
Would have liked more TV channels like RT Russia Today,negative
It wasn't a big issues when I came but the hotel doesn't have it's own parking lot so sometimes it might be difficult to find a parking spot.,negative
Better TV channel selection would have been good for evening.,negative
"Our room was rather small and lacked a balcony, which can make a lot of difference (we had one on our previous stay).",negative
none,negative
"there was hair on the floor from previous visitors, it should be better cleaner .",negative
"nothing, it is sometimes a bit noisy because of the air traffic",negative
We could not turn on the mini fridge to cool our water bottles overnight ready for the following day. It was very late to go and ask so we didn't. Probably something to show guests initially.,negative
No complaints about the hotel. Parking in the area is always possible but not necessarily the most convenient,negative
There should be a safety strip on the step to each floor coming up the stairs. You are unaware of it and could possibly trip as I did.,negative
"for the price that it was, it only had some random unlabeled shampoo dispenser attached to the shower wall. dont know if it was body or hair shampoo but it wasnt very nice at all, and seemed a little cheap considering the hotel cost.",negative
Nothing we can think of,negative
"The location is a bit hard to find. The taxi drivers GPS had trouble finding it, but eventually we did. It’s amongst several apartment buildings on a small side street.",negative
"Lack of decent TV channels, only in the evening (past 9 pm) you can actually find something to watch. There are only ~10 channels, half in Greek and half in Russian, and maybe one or two in English (in the evenings)",negative
Nothing.,negative
only thing was the bathroom floor got wet from the shower and became very slippery. needs two foot towels rather than just one.,negative
Nothing really.,negative
locks on windows didn’t seem secure,negative
It takes too long hot water to reach tap/shower in the room,negative
The room does not maintain well noise insulation. but this is typical in the area,negative
No such thing.,negative
TV CHANNELS TO BE FIXED :),negative
Nothing.,negative
"nothing, maybe they could leave more water",negative
"Refurbishment not totally complete, so safety box wasn’t working. Our room was a family suite (for 4 people), so could do with one more double hook in bathroom for towels.",negative
"smell from the lake, but it doesn’t depend on the hotel.",negative
Size of room was a bit small,negative
No such thing.,negative
Aircraft noise does not bother me but the noise from aircraft landing and taking off may be an issue if you have young family or just want a quiet area,negative
"* Weak WiFi\n*This hotel being new , the staff , although very friendly , still needs to improve its organisation and collaboration. \n*Pool is very tiny.\n* Far from centre town.",negative
Nothing.,negative
Mostly the bathroom floor sink was closed with tapes and there was bugs under it. But I think it was a special case and don't think that all hotel rooms has the same issue.,negative
TV with only 3 channels. But that was not a big problem :),negative
Nothing at all,negative
"Need some renovation in lobby and common areas, as well as for the elevator.\nDuring night lights in common areas didn't work well.",negative
Room small. But I had the smallest I think.,negative
A bit small rooms,negative
Minor point: a bar for hanging clothes in the room was the only thing we felt was missing to improve our stay.,negative
Taller people be careful of doorway leading to elevator - being 190 i head-bumped…,negative
The bottle with hair/body wash was empty. Aircon had just one uncontrolled speed. There were no adapters for CY sockets. The blanket was too warm for summer night.,negative
it was not on the beach front as we were under the impression it was.,negative
"Windows should be closed, as the front building looks right into your room.",negative
"Size of the room is one of the smallest I have ever seen. There is no space for the suitcase  nor a wardrobe. No sitting area.\nThere is a terrace which Sun hits all the time, except for the early morning.\nFor that money for which I used to pay better hotels in Valencia  you get one small water bottle.",negative
For what you get it was a bit expensive. The rooms were a bit small for a suite. No breakfast included. We tried it one time at their restaurant and it was low quality compared to an original greek breakfast. Didn't eat there again.,negative
Restaurant was offering a rather narrow set of choices compared to what was listed on the menu. Room quite small.,negative
"Bath room was cleaned rather superficially, so that medium nice with hair not being removed.",negative
Cold floor in the room :-),negative
Room was a little cold. The hotel hadn’t yet opened up for the season. It was a little hard to find.,negative
"off season, so no bar / restaurant/ pool, which was not clear on booking.",negative
Breakfast was below average,negative
Complimentary coffee/tea in our bedroom was not replenished after the first night. Only one coffee sachet for a double room. \nWhatever was used from the fridge was also not replenished.\nThere were no thin curtains to allow for some light to come through into the bedroom; and so you had to draw the thick curtains if you wanted privacy.,negative
"Noisy\nLimited food options\nProbably renovation work was in progress so, some items were not ready. Example, there is no rod for hangers in the wardrobe, the safe wasn’t fixed.",negative
"Rate was very expensive for what it offered. No cleaning service the 4 days I stayed, no emptying garbage can and also had to ask for fresh towels. There were not even hangers for clothes in the closet",negative
There wasn’t a fan in the bathroom so opening the window was required,negative
Not applicable,negative
Swimming pool could be cleaner.,negative
Maybe a little way from main town,negative
"Overpriced for its facilities, if you're lucky you may have the only one parking in the side.\nVery poor lunch (breakfast).",negative
"The Waze is to blame for what I didn't like.\nShe was less helpful in guiding me than the locals, who explained to me in a second 🙏😊",negative
Just a bit far from town\nRoom a bit small,negative
"Access to the airport is close but not so easy with the bus, when you do not know",negative
"Cramped, the third bed for a child is more suitable for a baby, minimalist room accessories",negative
#NAME?,negative
Anything.,negative
Soundproofing: 07/10 (separated rooms with plasterboards)\nBalcony furniture set: 08/10 (could refurbish these too)\nSet of shampoo etc. for the bathroom: 08/10 (Could offer 1 to 1 for the pampering),negative
It was very hot but that was the weather,negative
Little parking nearby arriving in the evening,negative
Nothing .,negative
Bed 5 could be opened and was less comfortable. Toilet and shower are together and less convenient.,negative
"There was no hot water the two nights we slept there. And even when we complained, they said they took care of it and it wasn't taken care of.",negative
#NAME?,negative
The air conditioning had poor regulation... or cold (and directly to the body) or heat.,negative
"There was a bottle of water ready, that should have been two for 6 people. Everything else was to your liking!",negative
Nothing.,negative
There were no such elements,negative
🤫,negative
"The size of the room was just enough to spend one night, not much more. The ridiculous closet. The price is perhaps a little high for the comfort that a room gives you that is small as soon as you enter. If I were to go with my partner we would have been disappointed due to the lack of space.",negative
/,negative
Ras,negative
"Not all rooms have a balcony. I did not have it. Staying for one day is fine, but if you live for a while, then how to dry your towel and swimsuit ...",negative
"We had ordered a shuttle and thought it was specific to the hotel but it turned out to be just a lambda taxi, the problem is that we waited for it for 40 minutes because it was late but nobody warned us. We had to pay it straight away when we thought it would be included in the hotel bill at the end of the stay. It would be better to indicate directly that it is independent of the hotel, we would not have waited in front of other taxis and tried to reach everyone...",negative
Wifi was weak at times.,negative
the humid air in the room. It was very warm. The air conditioning probably didn't work properly,negative
I would like more variety at breakfast.\nThe price to food ratio was disproportionate.,negative
There was no hair dryer,negative
Maybe the reception needs improvement. It is very old furniture,negative
"The hotel is not far from the airport, but a bit far from city center.",negative
Those who sleep lightly will be disturbed by the aircraft noise. Those who are tired sleep over it.,negative
Pool infrastructure.,negative
"The shower has no door or curtain. While taking a shower, drops fall on the floor. Wi-fi is enough for a phone, not enough for a laptop. There are few shops nearby.",negative
"In addition to liquid soap, no other means. Bring along shampoos, soaps, gels, etc.",negative
breakfasts. This is probably the weakest link in the hotel.,negative
"Small room, only one nescafe bag, no curtain in the bathroom. Better remove the photo of the pool, since it's a hole...",negative
RAS,negative
RAS,negative
Small room for a family,negative
Lack of adapters for sockets in the rooms. But the staff promised to fix it.,negative
There were no TV channels,negative
Nothing everything is perfect,negative
WE HAVE ALREADY TALKED TO THE STAFF THEY ARE PREPARING A LOT. POOL. Play room. Roof garden.,negative
there was no running water in the morning when I left. don't change it's normal to take a shower,negative
",Noise\nUncomfortable beds",negative
Not as close to the airport as advertised.,negative
The frozen water in the bath,negative
A hotel that is suitable for an overnight stay. Small rooms. There is no view.,negative
No staff at night..,negative
"The quality-price ratio. You should only sleep with air conditioning in the summer, because there is a lot of noise from the nearby beach until early morning.",negative
After 20 minutes of waiting bad and half raw croissant\nWatery cappuccino,negative
The room given was not the one booked. small corner,negative
"Far from the beach. The hotel is average (3 stars) 400 euros for 3 nights a bit expensive. The windows overlooked the courtyard, where it was quite noisy.",negative
"We lived for a week\n1. Bed linen was never changed (cleaning and change of towels daily);\n2. the number is microscopic. Rented Nissan Micra and then more;\n3. the refrigerator is full of minibar for money, I had to pull everything out so that my products would fit;\n4. the hotel did not allow to turn over a couple of hours before the delayed plane;\n5. walk to the promenade of Larnaca for about 20 minutes, to Lidl for an hour and a half.\nThe hotel is really for one night.",negative
"The breakfast is delicious but the same. Eat what they bring you. A fruit van drove under the windows almost every day from early morning and the seller shouted into the mouthpiece. Walking distance to the center, but within walking distance of Mackenzie beach and all party cafes.\nPoor soundproofing from corridor.",negative
difficulties with the different sockets as they provided devices without adapters.,negative
None,negative
Arrived in the early hours clear instructions left access to our room made easy 😊,negative
"I went there while on transit in Larnaca, the building is completely refurbished, it is confortable and the self check in was very easy.",negative
#NAME?,negative
"quit area , easy find parking places",negative
"It was easy at the time to park car outside. Clean rooms, helpful staff.",negative
"Did not have breakfast. Good location for airport , only 8 minutes  by car",negative
Small and quiet,negative
The location near Makanzie Beach6,negative
A LITTLE BIT FAR FROM SEA,negative
Quiet location.,negative
The accommodation itself is very good. It is very central. The problem is finding it. It is located in an alley and google maps went crazy. Now I understand why they sent me a photo of how to locate the street.,negative
#NAME?,negative
Cleanliness/Towels: 10/10\nDesign/Furniture: 10/10\nStaff: 10/10,negative
We only had drinks.,negative
"The hotel is very close to the airport. All is clear. We were given a superior room with a balcony for free. Unfortunately, it was not possible to evaluate everything, since we arrived in the evening - it was already dark and left for the airport early in the morning (it was still dark). There are many restaurants and cafes within walking distance from the hotel (which was very convenient for us). Very close to the beach.\nWe were seated very quickly. We left at night with no problems.",negative
"New hotel. Clean comfortable room. Friendly staff. The hotel is located near the airport.\nWe read reviews that extraneous noise could interfere, but we traveled in the off season - there was no noise from the street, and the sound from landing / taking off planes did not particularly bother us",negative
"Location close to the airport, therefore during the day a lot of noise from planes taking off. Not heard at night.\nBreakfast was good, but not lavish. Had to ask for bread.",negative
"The ""street side"" rooms are noisier than those facing the back.",negative
Extremely thick bedding for the weather,negative
We didn't eat,negative
The meal is not included in the price,negative
Couldn’t stay longer,negative
Disappointed we didn't have a balcony,negative
parking not always easy,negative
it was a bit badly soundproofed,negative
no swimming pool,negative
That there is no kiosk open 24 hours close to the hotel.,negative
We had a late check in and there was no one in the hotel to give us keys and the door was locked. We had to ask the taxi driver to make the call because it was cyprus number.,negative
it was a bit noisy\nwe could here everything,negative
"Except excellent staff/owners and an ok restaurant, there is not much extra in this hotel or in the room. \nTips for improvement:\n- The out-of-order pool table hidden away in the backyard should be brought back to life.\n- The backyard itself could actually have been used so much better. \n- The small fridge in the room was warm (turned off) upon arrival and completely empty, and no local shop/kiosk nearby to fill it up. One small bottle of water upon arrival to double room feels a little poor. Would gladly have paid those 2€ more per day to have 2 bottles initially and being refilled daily with room service. A couple of cents more, to have even tea on the small welcome tray ;-)\n- Bathroom floor gets completely wet when (carefully) showering, as only half a glass wall covers the shower. \n- Bed frame has very sharp/hard corners, and it's easy to get hurt. Apply baby safety corners?\n- Veranda door and main door doesn't close entirely tight so main door slams in the night when it's windy. However fixable in MacGyver way using the bed cover and a tea spoon, although a professional seal attached to the door frame would probably be a better fix long-term ;-)\n- Beach towel services would also have been nice and useful, to avoid using lots of space/weight in baggage.\nAll in all, this hotel is great but still has room for improvement in many little details which could easily be fixed. Still getting our high rating as the staff is simply the best and made our stay a true pleasure, thus above comments should not scare anyone from booking this hotel. We highly recommend it and would definitely love to return!",negative
nothing all good,negative
The Smart television did not work,negative
The weather was a bit cold.,negative
Booked a taxi from the airport was a no show.,negative
I wish I stayed longer!,negative
not enough pillows,negative
"There are various things I would love to see improved, listed here:\n- the shower of our room is very inconviniently placed, making a mess because of insufficient coverage of the bathroom glass\n- the edges of the shower (between wall tiles and the shower floor) need replacement - they are hollow and seem moldy\n- the bin is rusty\n- the mirror is weirdly placed, on the right of the sink\n- due to the placement of the curtains, a lot of light gets in the room in the morning\n- there is no designated parking, you just park wherever you find\n- we have requested late check out (1pm) which we got and we appreciate it. However, we got a call that prompted us to check out at the normal time (12pm) as the next customers would arrive. I exllained thay we have been granted late check out and the clerk apologised. No problem for this, but I find it important to keep staff updated about these things.",negative
The duvet was for the winter and even with 23 degrees Celsius on the a/c it was unbearable!\nNo simple sheets on the bed either...\nOur only other choice was to close the a/c an go without covers but we could not open the windows because it was very very noisy. \nAlso the windows had no soundproofing whatsoever because the noise was too much!!\nWe gave the duvet a chance up to 3 am and then got up and opened the windows when the noise went down. We had to leave to catch a flight at 5am... Not a good night's sleep!!!\nAlso the room had a hair dryer and a kettle that we could not use because the plugs did not fit the sockets and the hotel didn't provide adaptors... So no use of that service in the room either!,negative
We booked a taxi at 04:30 in the morning to go to the airport. Very frustrating that the host didnt inform us that his taxi had a double Booking instead of ordening another for us.,negative
"Property feels cold without an warm inviting atmosphere, as it’s to minimalistic. Rooms are a nice size but is unfortunately situated on top of the outside bar area. Twin beds are provided and the pillows is not comfortable at all. The shower in the bathroom is open in-front which results in the whole floor being wet. Property have a great potential with some care.",negative
Nothing to report.,negative
The way room are furnished is not comfortable,negative
"Our plumbing had complications twice.  Moreover, the cleaning crew cleaned out our rooms and threw out a box of cookies next to our bags that was meant to be a gift.  These cookies are only made in Thessaloniki and cost us 25 euros.  When we asked if they had seem them, the owners brought them out of the trash room and offered to spray them as if that would be acceptable for an edible gift during COVID pandemic cautions.  It was nice that they tried, but they should be refunding us for the cookies we lost.  I feel bad writing a negative review because they were kind; however, only things near the garbage should be thrown out.  Not stuff next to guests' belongings.  I was extremely disappointed in how they dealt with the situation, and that they thought it was acceptable to take an edible gift out of a trash room and continue as if nothing happened.",negative
the rooms were not soundproofed enough,negative
"bed duvet much too thick, we suffocate underneath! Very hard bed\nNoisy, due to the heavy use of tiling and the steady stream of travelers arriving/departing for the airport throughout the night.\nDo not use this hotel other than for a stopover night near the airport",negative
The air conditioner does not cool enough,negative
Have to pay for breakfast,negative
The elevator. it needs more cleaning and maybe a complete renovation would be better.,negative
"Works next door, but unfortunately the owners can't do anything about it",negative
the small downside concerns the light from the outside at certain times,negative
"Beautiful accommodation, unfortunately at night it was fertilized in Larnaca and the whole city stank. Perhaps it was only short-lived.",negative
"bed a bit uncomfortable.\nUnfortunately, the organized taxi came too late/ a bit chaotic.\nEven if the hotel cannot do anything about it.",negative
Unfortunately the pool was closed.,negative
Quilts too warm for summer..,negative
Too bad the swimming pool is not indicated on the booking site and at the reception of the hotel!,negative
room a bit small. son of 16 had to sleep on the starter,negative
"Swimming pool , small and dirty",negative
Can be noisy from discos on Mackenzie,negative
not clean,negative
Minibar was empty and not working\n(annoying if you arrive after midnight\nand looking forward to a beer),negative
Receptionist didn't understand English very well and the staff could not give me any information about the bus to the airport,negative
The lack of adapters for sockets,negative
couldn't close one window,negative
Closure to the Airport\nHospitality,negative
Did not have breakfast.  Left too early.,negative
"We arrived in the night and were checked-in quickly and slept well the rest of the night, next morning we were ready to continue our trip. The hotel had been just renovated, very convenient for our short stay in Larnaka. Actually, it was a pity not to be able to stay longer. Next time.",negative
"Location very good, didn't have breakfast but the evening meal was poor as it isn't really a bar or a restaurant.",negative
Basic night stay but facilities are limited.,negative
quiet place,negative
"When the booked taxi didn't show up at 3 in the morning, the Htl owner drove me to the airport himself after I rang him out of bed....",negative
I cannot find a single negative point…which is unusual. Having spent 45 years travelling as part of work I am perhaps over critical.,negative
AC was a bit loud and the people in the next hotel were also loud to be heard from our room,negative
nothing!,negative
"Wanted to have in the shower shampoo, body soap and hair conditioner. The staff explained that the dispancer in the shower holds 3 in 1. Really?!",negative
"The noise from the hallway was very loud, the doors are not sound proofed at all and we couldn't sleep because of the noise that was coming around 11, 12, 1 AM.",negative
close surroundings are not that exciting and clean,negative
Nothing!,negative
"The lock on the balcony's door was broken (however they sayd ""we repaired it"" when I asked it wasn't done, the lock wasn't closing as it should)\nI see it as a problem, cause with the door unlocked theoretically anyone could open the door from the balcony and the noise from the street was entering to my room through the ""crack"".\nI almost broke the showers door, cause when you open the shower the door touches the toilet",negative
The breakfast could have had more variety.  They had no cereal on offer at all.  They had no ordinary tea on offer.  It was al Earl Grey. No proper plan tea.\nThis hotel is accessible to wheelchairs but there ramps are not to EU regulations.  VERY STEEP.  They really need to sort this.  The ramp right outside is very dangerous.  I am surprised I wasn't wheeled of this ramp.  I think booking.com should investigate this.,negative
that they couldn’t wait for 15min as i had just fractured my ankle and need to change my bandage and the Lady of the house was literally standing next to the door with a cleaner to clean the room. so i left without changing my bandage and had to do it outside on the street.,negative
The water in the bath is cold!!!!!! And that we were staying in the middle of August.. even David Shemesh was supposed to arrange boiling soup here,negative
Very thin walls. Everything is heard. At 3 o'clock in the morning we woke up from the fact that the garbage truck loaded the tanks.,negative
I can't even remember.,negative
close to the airport but no aircraft noise\nclean\nbus station nearby\nsalt lake nearby,negative
I have no complaints. 👍,positive
Nothing to complain.,positive
it wasn't like that!,positive
Nothing to complain about,positive
Nothing to complain about,positive
There was nothing to complain about!,positive
nothing to complain about),positive
"Of the minuses: sometimes a car came to pick up garbage cans at night. More precisely, the car poured them into its depths, not worrying about the noise and sleeping expensive tourists. Also mirrors in the room. There are plenty of them and they all distorted the image. rather made you fatter))\nEverything else is a plus!",positive
Constructive attitude of the staff.,positive
"Proximity to the airport has its own nuances: the noise of planes taking off and the smell of jet fuel are very audible. Near the beach at night there is a disco, which also makes it very difficult to sleep.",positive
The room was recently refurbished and very spatious. Nice view of the salt lake by the terrace.\nSinks and toilette separated by a door inside the bathroom.,positive
I did not expect such a beautiful hotel for such a cheap price\nDisgusting on the outside but clean and beautiful on the inside,positive
friendliness of staff,positive
"The reception of the staff, the cleanliness and the quality of the room.",positive
The noise emanating from the terrace when located on the 1st floor.,positive
"We had a horrible 4am arrival, instructions for access were sent in advance and absolutely perfect. In a clean, comfortable bed within minutes of arrival.",positive
"Great location for a late flight, everything was clean and nice in the room. We arrived late and got great instructions on how to get in on our own. Terrific late breakfast at the café downstairs, the manager catered to our every need",positive
"Welcoming by the staff, super clean, location and price",positive
"Fridge could have been put on beforehand so it was cold, the shower took a while to get hot, had to have a cold shower one morning as i needed to get out early. When you left it running for around 5 mins it got warm and was a good shower.\nOrdered pizza one night and was not great, too stodgy but I'm sure other food is better. The restaurant area is nice and the staff very accomodating.",positive
"We liked La Veranda\nOur son had a folding bed which could have been better, especially considering how comfortable the regular beds were.",positive
"there is no shop or pharmacy in the area, but the accommodation cannot do anything about this. overall, we are extremely satisfied.",positive
Lovely little hotel with very friendly staff. Breakfast was excellent.,positive
Nothing. It was perfect for my stay.,positive
I liked everything about the property,positive
"very nice restaurant, good food and service",positive
I liked everything!,positive
There was nothing not to like. Fabulous place.,positive
Everything was perfect!,positive
I liked everything.,positive
Liked everything!,positive
how clean it was and the bed and linens were soo comfy and everything smelled good,positive
all good,positive
"Nothing! The hotel was terrific. It was located near the airport, which is what I was looking for. You just need access to a car if you are doing to use the hotel as your base.",positive
Liked everythingz close to airport and town half an hour walking to town,positive
all was good nothing bad to say,positive
liked everything a little far from local shop but have everything we need in the cafe.,positive
very good location,positive
Nothing. All was great,positive
Immediate location wasn’t inspiring but lovely restaurants very close in the sea front and handy for Limassol and airport.,positive
It was all good!,positive
it was ok,positive
"Good place , excellent stuff, we will come back",positive
"Nothing :) it was soo nice and cosy, made me feel welcome from the first moment of arrival",positive
all was good,positive
"I have no reason to complain, everything was great!",positive
A bit farther away than most hotels so it's a bit of a trek to get to get to the busier beach and bars. But the area its in is good for water sports and is where the quieter beaches are.,positive
all good!,positive
I was happy with everything,positive
Good location and nice atmosphere,positive
There is nothing negative to say about the property. It was a wonderful stay n,positive
